,"Short-term visitor arrivals, Australia ('000)"
"Jul 2015","628.27"
"Aug 2015","574.14"
"Sep 2015","571.99"
"Oct 2015","625.80"
"Nov 2015","671.54"
"Dec 2015","901.32"
"Jan 2016","617.67"
"Feb 2016","798.61"
"Mar 2016","757.35"
"Apr 2016","610.50"
"May 2016","541.28"
"Jun 2016","555.07"
"Jul 2016","715.78"
"Aug 2016","632.14"
"Sep 2016","647.04"
"Oct 2016","695.92"
"Nov 2016","721.83"
"Dec 2016","976.15"
"Jan 2017","723.99"
"Feb 2017","787.58"
"Mar 2017","772.23"
"Apr 2017","700.01"
"May 2017","579.09"
"Jun 2017","606.01"
"Jul 2017","746.41"
"Aug 2017","702.90"
"Sep 2017","663.59"
"Oct 2017","741.36"
"Nov 2017","777.09"
"Dec 2017","1,015.04"
"Jan 2018","702.58"
"Feb 2018","914.53"
"Mar 2018","872.35"
"Apr 2018","679.78"
"May 2018","609.45"
"Jun 2018","646.65"
"Jul 2018","774.36"
"Aug 2018","741.71"
"Sep 2018","690.19"
"Oct 2018","753.96"
"Nov 2018","802.16"
"Dec 2018","1,057.90"
"Jan 2019","731.13"
"Feb 2019","927.24"
"Mar 2019","836.35"
"Apr 2019","700.37"
"May 2019","668.28"
"Jun 2019","660.34"
"Jul 2019","790.38"
"Aug 2019","789.20"
"Sep 2019","694.96"
"Oct 2019","774.02"
"Nov 2019","815.91"
"Dec 2019","1,077.72"
"Jan 2020","766.59"
"Feb 2020","685.41"
"Mar 2020","331.89"
"Apr 2020","2.25"
"May 2020","3.44"
"Jun 2020","5.40"
"Jul 2020","3.53"
"Aug 2020","3.03"
"Sep 2020","3.72"
"Oct 2020","6.07"
"Nov 2020","7.57"
"Dec 2020","8.82"
"Jan 2021","7.99"
"Feb 2021","6.26"
"Mar 2021","8.32"
"Apr 2021","22.61"
"May 2021","36.19"
"Jun 2021","36.77"
"Jul 2021","18.72"
"Aug 2021","6.39"
"Sep 2021","4.43"
"Oct 2021","4.41"
"Nov 2021","20.86"
"Dec 2021","73.29"
"Jan 2022","60.76"
"Feb 2022","90.46"
"Mar 2022","170.25"
"Apr 2022","235.46"
"May 2022","231.48"
"Jun 2022","275.30"
"Jul 2022","325.68"
"Aug 2022","348.44"
"Sep 2022","371.85"
"Oct 2022","430.47"
"Nov 2022","505.24"
"Dec 2022","648.97"
"Jan 2023","412.41"
"Feb 2023","600.71"
"Mar 2023","613.34"
"Apr 2023","544.92"
"May 2023","512.33"
"Jun 2023","542.08"
"Jul 2023","625.12"
"Aug 2023","603.36"
"Sep 2023","584.62"
"Oct 2023","607.93"
"Nov 2023","663.76"
"Dec 2023","876.86"
"Jan 2024","603.77"
"Feb 2024","857.95"
"Mar 2024","761.05"
"Apr 2024","593.09"
"May 2024","600.78"
"Jun 2024","587.76"
"Jul 2024","658.97"
"Aug 2024","658.81"
"Sep 2024","630.70"
"Oct 2024","677.41"
"Nov 2024","695.36"
"Dec 2024","945.28"
"Jan 2025","710.04"
"Feb 2025","787.77"
"Mar 2025","761.23"
"Apr 2025","641.15"
"May 2025","611.18"
"Jun 2025","624.51"
"Jul 2025","743.21"
